幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.74000,30.04000,30.02900,30.00600,29.96700,29.92200,29.87600,29.83000,29.76900,本行賣出,30.28200,30.14000,30.13300,30.12000,30.08100,30.03800,29.99600,29.95500,29.91300,
HKD,本行買入,3.71400,3.83400,3.83300,3.83200,3.83000,3.82700,3.82300,3.81800,3.81400,本行賣出,3.90900,3.89400,3.89400,3.89500,3.89300,3.89000,3.88800,3.88500,3.88200,
GBP,本行買入,37.48000,38.35000,38.34500,38.33600,38.32100,38.30000,38.27100,38.24100,38.21100,本行賣出,39.41000,38.77000,38.77800,38.79400,38.77700,38.76100,38.74400,38.72700,38.70900,
AUD,本行買入,22.11000,22.30000,22.28500,22.25500,22.21700,22.17300,22.12700,22.08100,22.03500,本行賣出,22.77000,22.53000,22.52400,22.51200,22.47400,22.43200,22.39300,22.35500,22.31700,
CAD,本行買入,22.00000,22.27000,22.26500,22.25400,22.23500,22.21300,22.18700,22.16100,22.13500,本行賣出,22.74000,22.49000,22.49100,22.49200,22.47400,22.45400,22.43500,22.41600,22.39700,
SGD,本行買入,21.24000,21.66000,21.65200,21.63600,21.61600,21.59100,21.56200,21.53200,21.50300,本行賣出,22.02000,21.84000,21.84000,21.84100,21.82100,21.79800,21.77600,21.75300,21.73100,
CHF,本行買入,30.18000,30.71000,30.71800,30.73400,30.75100,30.76900,30.77800,30.78700,30.79500,本行賣出,31.24000,31.00000,31.01600,31.04900,31.06700,31.08800,31.10700,31.12500,31.14400,
JPY,本行買入,0.26290,0.26930,0.26930,0.26930,0.26930,0.26930,0.26930,0.26930,0.26930,本行賣出,0.27390,0.27330,0.27340,0.27360,0.27370,0.27370,0.27370,0.27370,0.27380,
ZAR,本行買入,0.00000,2.25000,2.24400,2.23200,2.21800,2.20200,2.18700,2.17200,2.15800,本行賣出,0.00000,2.33000,2.32600,2.31700,2.30300,2.28700,2.27300,2.25900,2.24500,
SEK,本行買入,3.06000,3.40000,3.40000,3.40100,3.40200,3.40300,3.40300,3.40300,3.40300,本行賣出,3.57000,3.50000,3.50200,3.50500,3.50700,3.50700,3.50800,3.51000,3.51100,
NZD,本行買入,21.02000,21.26000,21.24600,21.21800,21.17800,21.13200,21.08300,21.03500,20.98600,本行賣出,21.65000,21.46000,21.45200,21.43600,21.39700,21.35200,21.31000,21.26900,21.22700,
THB,本行買入,0.77960,0.86810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.92260,0.90810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.55510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.68810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00193,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00263,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,32.96000,33.46000,33.46400,33.47200,33.48000,33.48700,33.48500,33.48300,33.48100,本行賣出,34.11000,33.86000,33.87500,33.90400,33.91400,33.92400,33.93500,33.94400,33.95400,
KRW,本行買入,0.02516,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02906,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.97700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.51200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.34100,4.41300,4.40370,4.38510,4.36670,4.34780,4.32970,4.31160,4.29360,本行賣出,4.50300,4.46300,4.45630,4.44300,4.42900,4.41400,4.40060,4.38720,4.37380,
